participant_id,condition,shown_stimulus,pressed_key,correct_key,reaction_time,timestamp,circle_appeared,correct_reaction
100,1,circle appears,32,True,1,2021-04-28 22:03:22.429300,False,False
100,1,circle appears,32,True,1,2021-04-28 22:03:22.852646,False,False
100,1,circle appears,32,True,1,2021-04-28 22:03:23.141239,False,False
100,1,circle appears,32,True,1,2021-04-28 22:03:23.365216,False,False
100,1,circle appears,32,True,1,2021-04-28 22:03:23.525866,False,False
100,1,circle appears,32,True,1,2021-04-28 22:03:23.658783,False,False
100,1,circle appears,32,True,1,2021-04-28 22:03:23.765395,False,False
100,1,circle appears,32,True,1,2021-04-28 22:03:23.997107,False,False
100,1,circle appears,32,True,1,2021-04-28 22:03:24.149350,False,False
100,1,circle appears,32,True,1,2021-04-28 22:03:24.311956,False,False
100,1,circle appears,32,True,1,2021-04-28 22:03:24.525330,False,False
100,1,circle appears,32,True,1,2021-04-28 22:03:24.677388,False,False
100,1,circle appears,32,True,1,2021-04-28 22:03:24.845474,False,False
100,1,circle appears,32,True,1,2021-04-28 22:03:25.029453,False,False
100,1,circle appears,32,True,1,2021-04-28 22:03:25.181456,False,False
100,1,circle appears,32,True,-1,2021-04-28 22:38:52.005624,False,False
100,1,circle appears,32,True,-1,2021-04-28 22:38:55.238835,False,False
100,1,circle appears,32,True,-1,2021-04-28 22:38:55.595030,False,False
100,1,circle appears,32,True,-1,2021-04-28 22:38:55.987179,False,False
100,1,circle appears,32,True,-1,2021-04-28 22:38:56.287184,False,False
100,1,circle appears,32,True,-1,2021-04-28 22:38:56.515028,False,False
100,1,circle appears,32,True,-1,2021-04-28 22:38:56.689716,False,False
100,1,circle appears,32,True,-1,2021-04-28 22:38:56.859189,False,False
100,1,circle appears,32,True,-1,2021-04-28 22:38:57.015185,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:23.940611,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:34.157499,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:34.657957,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:34.690982,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:34.723908,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:34.757234,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:34.789845,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:34.822733,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:34.856066,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:34.889416,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:34.922435,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:34.955198,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:34.988022,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:35.020779,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:35.053889,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:35.087204,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:35.120274,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:35.152662,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:35.186243,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:35.218804,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:35.252036,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:35.284799,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:35.317909,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:35.350964,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:35.383721,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:35.417164,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:35.450252,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:35.483751,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:35.516485,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:35.548635,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:35.581953,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:35.614724,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:35.647944,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:35.680950,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:35.713959,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:35.747098,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:35.779650,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:35.812744,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:35.846071,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:35.879052,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:35.911704,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:35.944936,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:35.977768,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:36.010825,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:39.776249,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:40.776891,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:41.585167,False,False
100,1,circle appears,32,True,-1,2021-04-29 13:44:43.210207,False,False
100,1,circle appears,32,True,-1,2021-04-29 18:34:00.137074,False,False
100,1,circle appears,32,True,-1,2021-04-29 18:34:02.625389,False,False
100,1,circle appears,32,True,-1,2021-04-29 18:34:02.977181,False,False
100,1,circle appears,32,True,-1,2021-04-29 18:34:03.153232,False,False
